index,domain,ai_summary,homepage_kb,internal_links,google_indexed_pages,estimated_visitors
15,0km.az,"0km.az/ Markalar Haqqımızda MÜQASİYƏ 0 Sürətli axtarış Ətraflı axtarış Marka seçin AVATR BAIC Changan Dayun DongFeng GWM Haojue Haval IM Motors JAC KAIYI KIA Leapmotor Lynk&Co MG Skoda Suzuki Volkswagen Volvo Voyah XPENG AVATR BAIC Changan Dayun DongFeng GWM Haojue Haval IM Motors JAC KAIYI KIA Leapmotor Lynk&Co MG Skoda Suzuki Volkswagen Volvo Voyah XPENG //=($valyuta==1) ? ""selected"" : """"?> 121 avtomobil Chevrolet MG JAC BAIC VGV HAIMA Volkswagen Skywell Hyundai BMW Chrysler Citroen Daewoo Dodge Fiat Ford Honda Jaguar Jeep Land Rover Lexus Mazda Mercedes-Benz Mini Mitsubishi Nissan Peugeot Porsche Renault Rover SAAB Seat Skoda Smart Subaru Suzuki Toyota Opel Alfa Romeo Lynk&Co Maple DongFeng Volvo Vespa Voyah İsuzu Lada KIA Haval GWM Aprilia Bajaj Honda Moto Kanuni Kawasaki Minsk KTM Royal Enfield Yamaha Changan AVATR IM Motors KAIYI Leapmotor Dayun XPENG Haojue 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 2025 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 2004 2003 2002 2001 2000 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 6400 6500 6600 6700 6800 6900 7000 1000 1100 1200 1300 1400 1500 1600 1700 1800 1900 2000 2100 2200 2300 2400 2500 2600 2700 2800 2900 3000 3100 3200 3300 3400 3500 3600 3700 3800 3900 4000 4100 4200 4300 4400 4500 4600 4700 4800 4900 5000 5100 5200 5300 5400 5500 5600 5700 5800 5900 6000 6100 6200 6300 6400 6500 6600 6700 6800 6900 7000 Sedan Furqon Avtobus Hetçbek Kabrio Kupe Mikroavtobus Minivan Motosiklet Offroader / SUV Pikap Qolfkar Rodster Universal Van Yük maşını Sport SUV Liftbek Pikap, ikiqat kabin Moped Ağ Qara Bej Boz Bənövşəyi Göy Gümüşü Mavi Narıncı Qırmızı Qızılı Qəhvəyi Sarı Tünd qırmızı Yaş asfalt Yaşıl Çəhrayı Tünd yaşıl Neon yaşıl Tünd göy Qraffit boz Turkuaz Açıq yaşıl Benzin Dizel Qaz Elektrik Hibrid Benzin Aİ92 Benzin Aİ95 Plug-in Hibrid Benzin, Elektrik Ön Arxa Tam Mexanik Avtomat Robot Reduktor Variator Avtomat (Variator) Avtomat (Reduktor) Avtomat (AT) Avtomat (Robot) Avtomat (DHT) //=($valyuta==1) ? ""selected"" : """"?> 121 avtomobil Xüsusilə 1960-cı illərdə Avropada məşhur bir marka halına gələn Alfa Romeo, 1986-cı ildə Fiata qatılmışdır.",32.3,19,100,2201
16,1-0.az,Website could not be accessed or has insufficient text for summarization.,2.0,0,100,1148
17,1-2-3.az,"Maison 123 : Boutique officielle | Vêtements Femme video NOUVELLE COLLECTION NOS CHEMISIERS NOS VESTES NOS MAILLES NOS MANTEAUX NOS GUIDES SECONDE VIE BY MAISON 123 NOS ENGAGEMENTS MON PROGRAMME DE FIDÉLITÉ Inscrivez-vous à la newsletter et bénéficiez de -10% sur votre première commande Je m'inscris Découvrez nos nouveaux manteaux Découvrez nos nouveaux manteaux Livraison offerte à domicile dès 150€ Livraison offerte à domicile dès 150€ Soutenez SOS Cancer du Sein, faites un don au panier Soutenez SOS Cancer du Sein en ajoutant votre don au panier",390.78,0,100,1943
18,1-win.az,Website could not be accessed or has no visible text.,0.0,0,0,0
19,100.az,gopro.ae Domain For sale! Want to buy domain name?,6.16,0,100,1045
20,1000.az,Website could not be accessed or has no visible text.,0.0,0,0,0
21,1001flowers.az,Website could not be accessed or has no visible text.,0.0,0,0,0
22,1001gece.az,Website could not be accessed or has no visible text.,0.0,0,0,0
23,1001info.az,"1001info.az Deputatlar Vətən Müharibəsi Qəhrəmanının toyunda iştirak etdilər Mədəniyyət naziri Adil Kərimlinin doğum günüdür Açılmayan çətir - Samirə Əşrəfin hekayəsi Fazil Mustafanın trilogiyasının təqdimat mərasimi keçirilib - FOTOLAR Son xəbərlər 23-10-2025 14:16 Nusret 17 milyon dollar zərərə düşdü 14:04 Deputatlar Vətən Müharibəsi Qəhrəmanının toyunda iştirak etdilər 22-10-2025 14:32 ""DokuBaku""nun qalibləri mükafatlandırıldı 14:03 Mədəniyyət naziri Adil Kərimlinin doğum günüdür 13:24 Dünyanın ən çirkli havası olan 10 şəhəri - Siyahı 13:19 Açılmayan çətir - Samirə Əşrəfin hekayəsi 13:09 Prezident Sərəncam imzaladı 13:05 Fazil Mustafanın trilogiyasının təqdimat mərasimi keçirilib - FOTOLAR 20-10-2025 16:04 Güllü Eldar Tomarlı: Kəlağayı naxışı ilə deyil, parçasının keyfiyyəti ilə seçilir 14:51 Tədqiqatçı alim Mahir Qəribovun 50 yaşı tamam olur 13:41 Milan Kundera - ""Varlığın dözülməz yüngüllüyü"" romanı - Sevda Sultanova 13:34 Zəngilanın doğum günü - Lətif Şüküroğlu yazır 13:19 Ruh bəzən işığını itirməmək üçün gözlərini yumsa, yaxşıdır... - Hüseynbala Mirələmov yazır 15-10-2025 16:22 Bir ülfətin işığında... 13-10-2025 14:36 Ruhum, gözlərini yum... - Romandan parça 09-10-2025 14:04 Natiq Məmmədli romanda sevgini yalnız insanın deyil, bəşəriyyətin xilası kimi göstərir - Elnarə Akimova 13:54 ""Xoşbəxtlik düsturu"" – hekayə 13:52 Məşhur rəssamın əsərləri Heydər Əliyev Mərkəzində davami ŞƏHİDLƏR -Qazilər Burdan bir atlı keçdi... Mən bir igid tanıyıram. Uşaqlığı şahə qalxan at belində keçən, qorxmaz, cəsur, hələ kiçik məktəb yaşlarında olanda Şiraslan əmisinin evi yananda evin damına dırmaşıb alovlanan bacaya su töküb ... DÜNYA ƏDƏBİYYATDAN 16 yaşlı oğulluğu ilə eşq yaşayan yazıçı Sidoni Qabriel Kolett 1001info.az Kulis.az -a istinadla “Həyatı film olanlar” layihəsində fransız yazıçısı, Qonkur Akademyasının üzvü Sidoni Qabriel Kolett haqda “Kolett” bədii filmini ... İDMAN “Bayer”in kapitanı “Qarabağ”la oyundan danışdı İdman və Olimpiya hərəkatı insanlıqdan kənar olan ermənilərin ruhuna yaddır- Firdovsi Umudov FİFA Nüsrətin meydana necə çıxdığını araşdırır Zelim Kotsoyev Bakıda keçirilən Böyük Dəbilqə turnirində finala yüksəlib Velosipedi maşından çox olan şəhər MARAQLI Nusret 17 milyon dollar zərərə düşdü Dünyanın ən çirkli havası olan 10 şəhəri - Siyahı Dünyanın ən quraq səhrası çiçəkləndi... Süni intellekt Kıvanç Tatlıtuğu tanınmaz hala saldı - Foto Bu qidalar yaddaşı gücləndirir Çox yaşamaq istəyirsinizsə... Dünyanın ən çox ziyarət olunan şəhərləri ""O olmasın, bu olsun"" filminin tənqidinə 70 ildən sonra verilən cavab Mənəviyyatdan doğan işıq Heydər Əliyev Mərkəzində Nəsimi festivalının açılışı olub Kərim Vəliyev Belarusda Azərbaycanın Milli Qəhrəmanının məzarını ziyarət edib - FOTOLAR Leyla və Arzu Əliyevalar Nyu-Yorkda sərgidə iştirak etdilər - FOTOLAR IDEA-nın təsisçisi və rəhbəri Leyla Əliyeva və Arzu Əliyeva Nyu-Yorkda “Anadolunun qapıları arxasındakı xəzinələr” adlı sərgidə iştirak ediblər - FOTOLAR Üzeyir Hacıbəylinin 140 illik yubileyi keçirildi - FOTOLAR Yaradanım hamımızı sevir. Amma biz bir-birimizi başa düşüb sonacan sevə bilirikmi?..",55.93,74,100,9861
24,1001kitab.az,"1001kitab.az | Uyğun qiymətə kitablar Səbət Alışverişə Davam Sifarişi tamamla Dedektiv HAMISINA BAX 20% ENDİRİM Artur Heyli Otel 11.52₼ 14.40₼ Səbətə at 12% ENDİRİM Aqata Kristi 13 müəmma 6.99₼ 7.90₼ Səbətə at 20% ENDİRİM Aqata Kristi Endhauzda təhlükə 7.99₼ 9.99₼ Səbətə at 7% ENDİRİM Roberto Bolanyo Vəhşi xəfiyyələr 13.99₼ 15.00₼ Səbətə at 20% ENDİRİM Çingiz Abdullayev Qazanılmış cəhənnəm 6.24₼ 7.80₼ Səbətə at 20% ENDİRİM Artur Konan Doyl Baskervillərin İti – Şerlok Holms (Sherlock Holmes) macəraları 4.80₼ 5.99₼ Səbətə at 10% ENDİRİM Çingiz Abdullayev Yalnız özümüzünkülər 7.99₼ 8.90₼ Səbətə at 20% ENDİRİM Aqata Kristi Kitabxanadakı cəsəd 7.99₼ 9.99₼ Səbətə at 20% ENDİRİM John le Carre Sonuncu Xəfiyyə 9.59₼ 11.99₼ Səbətə at 20% ENDİRİM Aqata Kristi Hikori, Dikori, Dok 9.60₼ 11.99₼ Səbətə at Dünya Klassikləri HAMISINA BAX 20% ENDİRİM Sədi Şirazi Gülüstan 7.20₼ 9.00₼ Səbətə at 20% ENDİRİM Kolin Makkalou Tikanlıqda şərqi deyənlər 11.99₼ 14.99₼ Səbətə at 7% ENDİRİM Aleksandr Düma Qraf Monte Kristo (II kitab) 12.99₼ 13.90₼ Səbətə at 20% ENDİRİM Cek London Dəmir daban 6.40₼ 7.99₼ Səbətə at 20% ENDİRİM Maksim Qorki Malva 3.19₼ 3.99₼ Səbətə at 13% ENDİRİM Alan Laytman Eynsteynin yuxuları 5.99₼ 6.90₼ Səbətə at 20% ENDİRİM Nizami Gəncəvi Xəmsədən hekayələr 6.80₼ 8.50₼ Səbətə at 20% ENDİRİM Ceyn Ostin Qürur və qərəz 8.80₼ 10.99₼ Səbətə at 20% ENDİRİM Emili Bronte Tufanlı Yoxuşlar 9.19₼ 11.49₼ Səbətə at 20% ENDİRİM Frans Kafka Çevrilmə 3.99₼ 4.99₼ Səbətə at Fəlsəfə HAMISINA BAX 20% ENDİRİM Bertran Rassel Fəlsəfənin Problemləri 5.59₼ 6.99₼ Səbətə at 20% ENDİRİM Virciniya Vulf Şəxsi otaq 4.80₼ 5.99₼ Səbətə at 20% ENDİRİM Dalay Lama Ümidinizi üzməyin 7.99₼ 9.99₼ Səbətə at 20% ENDİRİM Ciddu Krişnamurti İlk və son azadlıq 9.60₼ 11.99₼ Səbətə at 20% ENDİRİM Ağalar Məmmədov Aşma 10.40₼ 12.99₼ Səbətə at 20% ENDİRİM Əlisa Nicat Dünya fəlsəfi irsindən yarpaqlar 6.40₼ 8.00₼ Səbətə at 20% ENDİRİM Pol Stretern Haydeggerlə 90 dəqiqə 3.20₼ 3.99₼ Səbətə at 20% ENDİRİM Əhməd Ümid Kandid, yaxud optimizm 5.59₼ 6.99₼ Səbətə at 20% ENDİRİM Pol Stretern Makiavelli ilə 90 dəqiqə 3.20₼ 3.99₼ Səbətə at 20% ENDİRİM Aydın Əlizadə Antik fəlsəfə tarixi 10.40₼ 12.99₼ Səbətə at Fərdi inkişaf və motivasiya HAMISINA BAX 20% ENDİRİM Stiven Kovi Yüksək effektli insanların yeddi vərdişi 11.99₼ 14.99₼ Səbətə at 20% ENDİRİM Hilda Östbi Yaddaş haqqında bilmədiyiniz hər şey! 10.39₼ 12.99₼ Səbətə at 20% ENDİRİM Robert T. Kiyosaki Varlı ata, kasıb ata 7.99₼ 9.99₼ Səbətə at 12% ENDİRİM Kinsun Yol sənin içindədir 6.99₼ 7.90₼ Səbətə at 20% ENDİRİM Riçard Kox 80/20 meneceri 11.99₼ 14.99₼ Səbətə at 20% ENDİRİM Dr. Riçard Karlson Xırda şeyləri dərd etməyin 7.99₼ 9.99₼ Səbətə at 20% ENDİRİM İshak Pintoseviç Təsir et! Liderliyin 7 şərti 7.99₼ 9.99₼ Səbətə at 20% ENDİRİM Valeri Sinelnikov Məqsədin gücü 6.40₼ 7.99₼ Səbətə at 20% ENDİRİM İbrahim Kalın Göy qübbəmizin altında 7.20₼ 9.00₼ Səbətə at 20% ENDİRİM T. Harv Eker Milyonçu zəkasının sirləri 9.60₼ 11.99₼ Səbətə at Psixologiya HAMISINA BAX 20% ENDİRİM Barbara de Anjelis Hər bir qadının kişilər haqqında bilməli olduğu vacib sirlər 7.99₼ 9.99₼ Səbətə at 20% ENDİRİM Valeri Sinelnikov Zənginliyə gedən yol 7.19₼ 8.99₼ Səbətə at 20% ENDİRİM Doğan Cüceloğlu Hazırsanmı?",181.97,132,100,49198
25,1001sinaq.az,Website could not be accessed or has no visible text.,0.0,0,0,0
26,1001tours.az,"We will be in panoramic tour of Baku. We will start our Tour to Shamakhe at 09:00, and tour will be ended 19:00. A large selection of tours and excursions in Azerbaijan, with thoughtful and comfortable routes, will satisfy even the most discerning tourists.",23.7,22,100,2270
27,1001xidmet.az,Website could not be accessed or has no visible text.,0.0,0,0,0
28,100faktintarixi.az,"Heydər Əliyev seçicilərlə. Azərbaycan. Əliyev, Heydər. Əliyev İ. Heydər Əliyev və Azərbaycanın kənd təsərrüfatı.",94.35,0,100,1319
29,100yasha.az,"1988-1994-cü illərdə Azərbaycan Tibb Universiteti, Bakı, Azərbaycan İş təcrübəsi 2011-ci ildənMD, ATU Tədris Cərrahiyyə Klinikası, cərrahi xəstəliklər kafedrasının assistenti 2004-2011-ci illərdə Bakı Klinikasında həkim cərrah kimi çalışıb. Laparoskopik sagtərəfli, soltərəfli və totalcolectomy- yoğun bağırsaq xərçəngi zamanı, Laparoskopik biliodigestiv anastomozlar və xolesistektomiya- öd yolları və öd daşı xəstəliyi zamanı, Laparoskopik exinokokketomiya- qaraciyər exinokokkozu zamanı, Laparoskopik TAP, TEPP- qasıq yırtıqları zamanı, Laparoskopik appendektomiya-appendisitlər zamanı, Laparoskopik İleokolik bypass- xponiki qəbizlik zamanı, Laparoskopik LAR- düz bağırsaq xərçəngi zamanı, Laparoskopik Nissen Fundoplikasiyası- diafraqmal yırtıq və qastroezofagiyal reflüks zamanı, Laparoskopik Heller-Dor əməliyyatı- qida borusu axalaziyası zamanı və s. FOTO / VİDEO YOUTUBE Laparoskopik prosesi haqqında daha çox məlumatlar əldə etmək üçün, canlı yayımda əməliyyatların gedişi ilə tanış olmaq, müştərilərdən rəy və təkliflər izləmək üçün rəsmi Youtube kanalımıza abunə olun AXALAZİYA, ƏVVƏL/SONRA mob:050 550 8882 Öd daşları təhlükəsi ♦️Bu xəstəmiz 15 il öncə açlq kəsiklə xolesistektomiya (öd əməliyyatı) olunub. mob:050 550 8882 27 yaşında,1 il ərzində 47 kq çəki itgisi ilı yeni həyata başladı Qida borusu əmıliyyatı ,axalaziya Tip 1, Mərhələ 3 Mob:050 550 88 82 ♦️Bu videoda Siz axalaziya xəstəliyi,onun müayinə və ən son müalicə metodu ilə tanış ola biləcəksiniz Əlavə məlumat üçün mob:0505508882 Reflü, mədə qıcqırması,Barret qida borusu mob:050 550 88 82 ♦️Nigar xanımın 35 yaşı var, Qastroezofageal reflüks xəstəliyindən əziyyət çəkirdi, 13 il “müalicə” alıb, sonunda da Barret qida borusu (xərçəngönü xəstəlik hesab olunur!) Belə… ƏLAQƏ ÜÇÜN dr. ASLAN ABDULLA | Mədə Kiçiltmə əməliyyatı 2024 il, Bakı, Azərbaycan | Bütün hüquqlar qorunur Saytların hazırlanması və SEO xidməti by Elchin Ibrahimov Back To Top",87.18,6,100,2056
30,101domain.az,"Sign In To Account No, this is not my domain. Learn More about our Corporate Services More domain names?",17.51,12,100,1570
31,102info.az,"top live casino online online real money casino nj ocean online casino Bernardsip commented on What you need for an Alpine adventure – written by expert guide Kathy Murphy : Pin Up Casino is the official website of a well-known online casino for players https://detsad47kamy AdolphusTep commented on Fransa həbsxanalarında məhbusların sayı rekord həddə çatdı : Nicely put, Thanks a lot! Resume now => https://graph.org/Get-your-BTC-09-04?hs=a928ac1bfaf0c3ed732fb88a0875a569& 🔒 commented on “Milan” üç xalı bir qolla qazandı – VİDEO : bs8km5 📂 🔐 Security Required - 0.2 Bitcoin transfer blocked. Get the best odds https://www.colbun.cl/en/corporat AdolphusTep commented on “Milan” üç xalı bir qolla qazandı – VİDEO : Kudos, I like it. online ny casino casino game online online casinos austricksen AdolphusTep commented on “Milan” üç xalı bir qolla qazandı – VİDEO : Thank you, I like it!",685.91,756,100,200000
32,106-3fm.az,106.3 FM - Azad Azərbaycan radiosu Son xəbərlər .… (ətraflı) .… (ətraflı) yeni açıqlama verib...… (ətraflı) Milli Qurtuluş Günü - xalqımızın şərəf tarixi.… (ətraflı) Bütün xəbərlər Verilişlər Bütün verilişlər Komanda Bütün aparıcılar,64.82,16,100,3374
33,106fm.az,Website could not be accessed or has insufficient text for summarization.,2.33,0,100,1071
34,10lar.az,Website could not be accessed or has no visible text.,0.68,0,0,0
35,110.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1086
36,112.az,Website could not be accessed or has no visible text.,0.0,0,0,0
37,114.az,Website could not be accessed or has insufficient text for summarization.,0.01,0,100,1053
38,117.az,Website could not be accessed or has no visible text.,0.0,0,0,0
39,119.az,"119.az İnfo Xİdmətlər ""Outsourcing"" yönləndirilmiş zəng mərkəzi 5 il telekomumnikasiya sahəsində 35 şirkət bizim zəng mərkəzimizdən istifadə edirlər Zənglərin tarifikasiya müddəti: 1 dəqiqə 54 həyata keçirilmiş layihə Daxil olan zənglər 11 000 000 dəqiqədən çoxdur Xidmətin səviyyəsi 98% × test az testtesttes aztesttes testtest az aztest aztest aztest aztest ru test az222 testtesttes aztesttes testtest az aztest aztest aztest aztest ru test az333 testtesttes aztesttes testtest az aztest aztest aztest aztest ru ana səhifə şirkət haqqında əlaqə bizimlə əməkdaşlıq karyera OOO ' AG Telecom' 2016",10.72,9,100,1322
40,121pro.az,ÐÐ¾Ð²ÑÐ¹ ÑÐ°Ð¹Ñ ÑÑÐ¿ÐµÑÐ½Ð¾ ÑÐ¾Ð·Ð´Ð°Ð½ Ð¸ Ð³Ð¾ÑÐ¾Ð² Ðº ÑÐ°Ð±Ð¾ÑÐµ ÐÐ¾Ð²ÑÐ¹ ÑÐ°Ð¹Ñ ÑÑÐ¿ÐµÑÐ½Ð¾ ÑÐ¾Ð·Ð´Ð°Ð½ Ð¸ Ð³Ð¾ÑÐ¾Ð² Ðº ÑÐ°Ð±Ð¾ÑÐµ. The new site has been successfully created and is ready to work.,34.64,0,100,1072
41,123.az,Website could not be accessed or has no visible text.,0.0,0,0,0
42,1234.az,"Мы ищем авиабилеты по 728 авиакомпаниям, 5 системам бронирования и 40 агентствам. Для того, чтобы сделать возврат авиабилета или его перебронировать, вам необходимо связаться с агентством, у которого вы заказали авиаперелёт. В случае, когда при вводе данных на сайте партнера вы указали неправильный или неработающий e-mail, советуем ознакомиться со списком агентств.",73.37,4,100,1577
43,123news.az,Website could not be accessed or has no visible text.,0.0,0,0,0
44,124studios.az,Website could not be accessed or has no visible text.,0.0,0,0,0
45,12restoran.az,"DAHA ƏTRAFLI ERP12 proqramının, restoran modulu istənilən ölçüdə restoran, kafe, pub, klub, fast food, coffee shop, keterinq, yeməkxana, oyun salonu kimi müəssisələrdə kompleks avtomatlaşdırmanı təmin edən bir sistemdir. Zəng Whatsapp ERP12 işinizə bir çox yenilik gətirəcək sadə restoran həlləri ilə idarəetməni asanlaşdırın Asan Maliyyət Hesablama Çox Şöbəli İdarəetmə Praktik və Asan İstifadə Hesab Xətalarının Həlli 7/24 Texniki Dəstək Bütün işlərinizi bir ekrandan idarə edin ERP12 restoran proqramının bütün sifariş tətbiqləri ilə tam inteqrasiyadan faydalanın.Sifarişlərinizi alın, nəzarət və idarə edin. SİFARİŞ, SATIŞ Az toxunuş, çox sifariş, satış Qısa zamanda sürətli təlim və istifadə asanlığı Caller-ID Ön ödəməli sifariş, satış Sifarişlərə toplu və ya fərdi qiymət dəyişikliyi Dəzgah satış kassa modulu Şirniyyat mağazalarına özəl, sifariş alınarkən foto, doğum tarixi, mətn, hazırlanma vaxtı qeydləri Gözləyən müştəri funksiyası ilə birdən çox sifarişi eyni vaxtda ala bilmə ... MASA ƏMƏLİYYATLARI Masa işləri bir ekrandan sürətli və asan bir şəkildə icra edilir QR-menyu Sifariş alınma vaxtına görə masa rənglərinin tənzimlənməsi Məhsul marş funksiyası Masa sayı nə qədər çox olarsada, asan axtarış Rezervasiya Müəssiəyə özəl qruplama və dizayn Masa, stul və müştəri əsaslı sifariş alma Masa birləşdirmə, bölmə, daşıma Sifarişdə masalara əlavə ad və qeyd girişi ... MALİYYƏ Kar, zərər analizləri Satınalmadan, istehsalata, satışa qədər nəzarət Şöbə, bölüm, masalar, personal statistikası Ləgv, zay, sərf hesabları Müştəri cari hesabları, loyallıq Kassalardan xərclər, giriş, ödəmələr, qalıq Müəssisə durumu aktivlər/passivlər Müştərilərə, məhsulara, qruplara, çeklərə... görə satış, karlılıq analizi Filial, anbar, şöbələrin maliyyətləri, hərəkətləri, sayımı, qalıqlarına nəzarət ... .",1458.78,5,100,17807
46,1337.az,Website could not be accessed or has no visible text.,0.0,0,0,0
47,13rr.az,Website could not be accessed or has insufficient text for summarization.,0.54,0,100,1159
48,13villa.az,Website could not be accessed or has insufficient text for summarization.,0.01,0,100,890
49,145.az,"145 Group ABOUT US PROJECTS CATERING PARTNERS LOYALTY PROGRAM CAREER CONTACT US Your browser does not support the video tag. This is a very important stage of development and another point of growth for us. It is important for us that quality and tasty food is available to our guests any day of the week and time of day (the holding's restaurants are open 24 hours), and that rest is unforgettable.",24.61,20,100,2081
50,145group.az,Website could not be accessed or has no visible text.,0.16,0,0,0
51,149avtotelim.az,Praktiki təlim- B kateqoriyası üzrə tədris olunan təlim dərslərimiz qarşılıqlı imzalanmış müqavilə ilə həyata keçirilir. Rübabə Rüstəmova Təlimçi Rəsmiyyə müəllimə xüsusi təşəkkür edirəm. Fatimə müəllim və komandanıza hər şey üçün təşəkkür edirəm! Çox təşəkkür edirəm!,74.42,6,100,2030
52,149dekor.az,149 Xanımların Xətti 149 Xanımların xətti Dəyərli xanımlar ən xoş günlərinizi bizimlə birgə daha möhtəşəm edə bilərsiniz. 04 avqust 2022 Ətraflı Oxu Dəyərli xanımlar ən xoş günlərinizi bizimlə birgə daha möhtəşəm edin.,50.62,21,100,3041
53,149dekorxidmeti.az,149 Xanımların Xətti 149 Xanımların xətti Dəyərli xanımlar ən xoş günlərinizi bizimlə birgə daha möhtəşəm edə bilərsiniz. 04 avqust 2022 Ətraflı Oxu Dəyərli xanımlar ən xoş günlərinizi bizimlə birgə daha möhtəşəm edin.,50.62,21,100,3565
54,149suruculuk.az,Website could not be accessed or has no visible text.,0.0,0,0,0
55,149xanimlar.az,Website could not be accessed or has no visible text.,0.0,0,0,0
56,149xanimlarinxetti.az,149 Xanımların Xətti 149 Xanımların xətti Dəyərli xanımlar ən xoş günlərinizi bizimlə birgə daha möhtəşəm edə bilərsiniz. 04 avqust 2022 Ətraflı Oxu Dəyərli xanımlar ən xoş günlərinizi bizimlə birgə daha möhtəşəm edin.,50.62,21,100,3593
57,14reklam.az,İşıqlı Reklam Lövhələri Müasir və cəlbedici dizaynlarla mağaza və obyektləriniz üçün diqqətçəkən işıq reklamları hazırlayırıq. Fərdi Dizayn və Quraşdırma Hər bir müştərinin tələbinə uyğun olaraq dizayn hazırlayır və yerində quraşdırmanı təmin edirik.,67.29,0,100,1129
58,158cargotaxi.az,Website could not be accessed or has no visible text.,0.0,0,0,0
